,title,url,description,url again
0,3D,http://github.com/topics/3d,3D modeling is the process of virtually developing the surface and structure of a 3D object.,http://github.com/topics/3d
1,Ajax,http://github.com/topics/ajax,Ajax is a technique for creating interactive web applications.,http://github.com/topics/ajax
2,Algorithm,http://github.com/topics/algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,http://github.com/topics/algorithm
3,Amp,http://github.com/topics/amphp,Amp is a non-blocking concurrency library for PHP.,http://github.com/topics/amphp
4,Android,http://github.com/topics/android,Android is an operating system built by Google designed for mobile devices.,http://github.com/topics/android
5,Angular,http://github.com/topics/angular,Angular is an open source web application platform.,http://github.com/topics/angular
6,Ansible,http://github.com/topics/ansible,Ansible is a simple and powerful automation engine.,http://github.com/topics/ansible
7,API,http://github.com/topics/api,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,http://github.com/topics/api
8,Arduino,http://github.com/topics/arduino,Arduino is an open source hardware and software company and maker community.,http://github.com/topics/arduino
9,ASP.NET,http://github.com/topics/aspnet,ASP.NET is a web framework for building modern web apps and services.,http://github.com/topics/aspnet
10,Atom,http://github.com/topics/atom,Atom is a open source text editor built with web technologies.,http://github.com/topics/atom
11,Awesome Lists,http://github.com/topics/awesome,An awesome list is a list of awesome things curated by the community.,http://github.com/topics/awesome
12,Amazon Web Services,http://github.com/topics/aws,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,http://github.com/topics/aws
13,Azure,http://github.com/topics/azure,Azure is a cloud computing service created by Microsoft.,http://github.com/topics/azure
14,Babel,http://github.com/topics/babel,"Babel is a compiler for writing next generation JavaScript, today.",http://github.com/topics/babel
15,Bash,http://github.com/topics/bash,Bash is a shell and command language interpreter for the GNU operating system.,http://github.com/topics/bash
16,Bitcoin,http://github.com/topics/bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,http://github.com/topics/bitcoin
17,Bootstrap,http://github.com/topics/bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",http://github.com/topics/bootstrap
18,Bot,http://github.com/topics/bot,A bot is an application that runs automated tasks over the Internet.,http://github.com/topics/bot
19,C,http://github.com/topics/c,C is a general purpose programming language that first appeared in 1972.,http://github.com/topics/c
20,Chrome,http://github.com/topics/chrome,Chrome is a web browser from the tech company Google.,http://github.com/topics/chrome
21,Chrome extension,http://github.com/topics/chrome-extension,Chrome extensions enable users to customize the Chrome browsing experience.,http://github.com/topics/chrome-extension
22,Command line interface,http://github.com/topics/cli,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",http://github.com/topics/cli
23,Clojure,http://github.com/topics/clojure,"Clojure is a dynamic, general-purpose programming language.",http://github.com/topics/clojure
24,Code quality,http://github.com/topics/code-quality,"Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them.",http://github.com/topics/code-quality
25,Code review,http://github.com/topics/code-review,Ensure your code meets quality standards and ship with confidence.,http://github.com/topics/code-review
26,Compiler,http://github.com/topics/compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,http://github.com/topics/compiler
27,Continuous integration,http://github.com/topics/continuous-integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",http://github.com/topics/continuous-integration
28,COVID-19,http://github.com/topics/covid-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,http://github.com/topics/covid-19
29,C++,http://github.com/topics/cpp,C++ is a general purpose and object-oriented programming language.,http://github.com/topics/cpp
